N,threads,schedule,chunk,execution_time,speedup,efficiency
1000000,1,static,100,0.00246500,0.8755,87.55
1000000,1,static,1000,0.00207000,1.0425,104.25
1000000,1,static,10000,0.00176400,1.2234,122.34
1000000,1,dynamic,100,0.00153800,1.4031,140.31
1000000,1,dynamic,1000,0.00152400,1.4160,141.60
1000000,1,dynamic,10000,0.00137400,1.5706,157.06
1000000,1,guided,100,0.00135400,1.5938,159.38
1000000,1,guided,1000,0.00125100,1.7250,172.50
1000000,1,guided,10000,0.00117000,1.8444,184.44
1000000,2,static,100,0.00063200,3.4146,170.73
1000000,2,static,1000,0.00060100,3.5907,179.53
1000000,2,static,10000,0.00059900,3.6027,180.13
1000000,2,dynamic,100,0.00056000,3.8536,192.68
1000000,2,dynamic,1000,0.00056500,3.8195,190.97
1000000,2,dynamic,10000,0.00056000,3.8536,192.68
1000000,2,guided,100,0.00053800,4.0112,200.56
1000000,2,guided,1000,0.00053100,4.0640,203.20
1000000,2,guided,10000,0.00053200,4.0564,202.82
1000000,4,static,100,0.00028800,7.4931,187.33
1000000,4,static,1000,0.00028300,7.6254,190.64
1000000,4,static,10000,0.00027400,7.8759,196.90
1000000,4,dynamic,100,0.00034300,6.2915,157.29
1000000,4,dynamic,1000,0.00027000,7.9926,199.81
1000000,4,dynamic,10000,0.00026700,8.0824,202.06
1000000,4,guided,100,0.00027200,7.9338,198.35
1000000,4,guided,1000,0.00026300,8.2053,205.13
1000000,4,guided,10000,0.00026900,8.0223,200.56
1000000,8,static,100,0.00025000,8.6320,107.90
1000000,8,static,1000,0.00023000,9.3826,117.28
1000000,8,static,10000,0.00027600,7.8188,97.74
1000000,8,dynamic,100,0.00057100,3.7793,47.24
1000000,8,dynamic,1000,0.00020200,10.6832,133.54
1000000,8,dynamic,10000,0.00018800,11.4787,143.48
1000000,8,guided,100,0.00018900,11.4180,142.72
1000000,8,guided,1000,0.00020000,10.7900,134.87
1000000,8,guided,10000,0.00018600,11.6022,145.03
10000000,1,static,100,0.00867800,1.0133,101.33
10000000,1,static,1000,0.00869800,1.0109,101.09
10000000,1,static,10000,0.00870200,1.0105,101.05
10000000,1,dynamic,100,0.00868400,1.0126,101.26
10000000,1,dynamic,1000,0.00875200,1.0047,100.47
10000000,1,dynamic,10000,0.00864200,1.0175,101.75
10000000,1,guided,100,0.00871300,1.0092,100.92
10000000,1,guided,1000,0.00874500,1.0055,100.55
10000000,1,guided,10000,0.00860800,1.0215,102.15
10000000,2,static,100,0.00466100,1.8865,94.33
10000000,2,static,1000,0.00459600,1.9132,95.66
10000000,2,static,10000,0.00460400,1.9099,95.49
10000000,2,dynamic,100,0.00459200,1.9149,95.74
10000000,2,dynamic,1000,0.00455300,1.9313,96.56
10000000,2,dynamic,10000,0.00457700,1.9211,96.06
10000000,2,guided,100,0.00457400,1.9224,96.12
10000000,2,guided,1000,0.00455400,1.9308,96.54
10000000,2,guided,10000,0.00458800,1.9165,95.83
10000000,4,static,100,0.00240600,3.6546,91.37
10000000,4,static,1000,0.00237800,3.6976,92.44
10000000,4,static,10000,0.00237700,3.6992,92.48
10000000,4,dynamic,100,0.00307900,2.8558,71.39
10000000,4,dynamic,1000,0.00236800,3.7133,92.83
10000000,4,dynamic,10000,0.00236900,3.7117,92.79
10000000,4,guided,100,0.00237500,3.7023,92.56
10000000,4,guided,1000,0.00236400,3.7195,92.99
10000000,4,guided,10000,0.00240500,3.6561,91.40
10000000,8,static,100,0.00188400,4.6672,58.34
10000000,8,static,1000,0.00172300,5.1033,63.79
10000000,8,static,10000,0.00170600,5.1542,64.43
10000000,8,dynamic,100,0.00522100,1.6842,21.05
10000000,8,dynamic,1000,0.00163700,5.3714,67.14
10000000,8,dynamic,10000,0.00155700,5.6474,70.59
10000000,8,guided,100,0.00154200,5.7023,71.28
10000000,8,guided,1000,0.00151700,5.7963,72.45
10000000,8,guided,10000,0.00156100,5.6329,70.41
20000000,1,static,100,0.01748100,0.9995,99.95
20000000,1,static,1000,0.01752900,0.9968,99.68
20000000,1,static,10000,0.01740500,1.0039,100.39
20000000,1,dynamic,100,0.01745500,1.0010,100.10
20000000,1,dynamic,1000,0.01752000,0.9973,99.73
20000000,1,dynamic,10000,0.01747700,0.9998,99.98
20000000,1,guided,100,0.01754000,0.9962,99.62
20000000,1,guided,1000,0.01741400,1.0034,100.34
20000000,1,guided,10000,0.01748000,0.9996,99.96
20000000,2,static,100,0.00927200,1.8845,94.22
20000000,2,static,1000,0.00915000,1.9096,95.48
20000000,2,static,10000,0.00918100,1.9032,95.16
20000000,2,dynamic,100,0.00910800,1.9184,95.92
20000000,2,dynamic,1000,0.00916000,1.9075,95.38
20000000,2,dynamic,10000,0.00919800,1.8997,94.98
20000000,2,guided,100,0.00912900,1.9140,95.70
20000000,2,guided,1000,0.00914500,1.9107,95.53
20000000,2,guided,10000,0.00915400,1.9088,95.44
20000000,4,static,100,0.00482000,3.6251,90.63
20000000,4,static,1000,0.00479300,3.6455,91.14
20000000,4,static,10000,0.00479200,3.6463,91.16
